Name,category,publishtime,author,version,currentprice,primeprice,feedback,URL_Á´½Ó
AQA AS/A Level Year 1 Biology Workbook: Organisms exchange substances with their environment; Genetic information,All Science & Geography,25-Sep-15,Pauline Lowrie,Paperback,7.88,14.01,0,https://www.bookdepository.com/AQA-AS-Level-Year-1-Biology-Workbook-Organisms-exchange-substances-with-their-environment-Genetic-information-Pauline-Lowrie/9781471844652?ref=grid-view
Vaccinated,All Science & Geography,5-Aug-08,M  Paul A Offit,Paperback,13.9,14.99,4,https://www.bookdepository.com/Vaccinated-M-Paul-Offit/9780061227967?ref=grid-view
The Science Magpie,All Science & Geography,12-Nov-13,Simon Flynn,Paperback,9.18,15.95,3.5,https://www.bookdepository.com/The-Science-Magpie-Simon-Flynn/9781848315990?ref=grid-view
The Little Book of Pocket Spells,All Science & Geography,4-Oct-01,Akasha Moon,Paperback,6.32,8.5,3.5,https://www.bookdepository.com/The-Little-Book-of-Pocket-Spells-Akasha-Moon/9780712614191?ref=grid-view
Gems and Gemstones,All Science & Geography,14-Apr-10,Lance Grande,Hardback,43.99,45,4.5,https://www.bookdepository.com/Gems-and-Gemstones-Lance-Grande-Allison-Augustyn/9780226305110?ref=grid-view
The Cambridge Companion to Foucault,All Science & Geography,1-Sep-05,Gary Gutting,Paperback,38.85,39.99,3.5,https://www.bookdepository.com/The-Cambridge-Companion-Foucault-Gary-Gutting/9780521600538?ref=grid-view
50 Biology Ideas You Really Need to Know,All Science & Geography,5-Nov-15,J. V. Chamary,Hardback,15.28,16.64,4.5,https://www.bookdepository.com/50-Biology-Ideas-You-Really-Need-Know-J-V-Chamary/9781848666696?ref=grid-view
What We Believe But Cannot Prove,All Science & Geography,1-Mar-06,John Brockman,Paperback,14.74,14.99,3.5,https://www.bookdepository.com/What-We-Believe-But-Cannot-Prove-John-Brockman/9780060841812?ref=grid-view
Advanced Topics in Forensic DNA Typing: Methodology,All Science & Geography,16-Nov-11,John M. Butler,Hardback,71.67,105,4.5,https://www.bookdepository.com/Advanced-Topics-in-Forensic-DNA-Typing-Methodology-John-M-Butler/9780123745132?ref=grid-view
Wave,All Science & Geography,31-Dec-13,Sonali Deraniyagala,Paperback,14.33,15.01,3.5,https://www.bookdepository.com/Wave-Sonali-Deraniyagala/9780345804310?ref=grid-view
The Nature of Computation,All Science & Geography,9-Oct-11,Cristopher Moore,Hardback,95.52,98.31,4.5,https://www.bookdepository.com/The-Nature-of-Computation-Cristopher-Moore-Stephan-Mertens/9780199233212?ref=grid-view
Math Hysteria,All Science & Geography,8-Jul-04,Ian Stewart,Paperback,15.31,19.99,4,https://www.bookdepository.com/Math-Hysteria-Ian-Stewart/9780198613367?ref=grid-view
The Book of Leaves,All Science & Geography,1-Nov-10,Allen J Coombes,Hardback,83.86,0,4,https://www.bookdepository.com/The-Book-of-Leaves-Allen-J-Coombes/9780226139739?ref=grid-view
Land Administration for Sustainable Development,All Science & Geography,1-Jan-10,Ian Williamson,Paperback,31.05,0,4,https://www.bookdepository.com/Land-Administration-for-Sustainable-Development-Ian-Williamson-Stig-Enemark-Jude-Wallace-Abbas-Rajabifard/9781589480414?ref=grid-view
Living Off the Grid,All Science & Geography,17-Nov-08,David Black,Paperback,13.98,0,3.5,https://www.bookdepository.com/Living-Off-the-Grid-David-Black/9781602393165?ref=grid-view
Extreme Medicine,All Science & Geography,31-Mar-15,Kevin Fong,Paperback,16.07,18,4,https://www.bookdepository.com/Extreme-Medicine-Kevin-Fong/9780143126294?ref=grid-view
Quantum Field Theory Demystified,All Science & Geography,11-Jun-08,David McMahon,Paperback,25.49,28,4,https://www.bookdepository.com/Quantum-Field-Theory-Demystified-David-McMahon/9780071543828?ref=grid-view
Discovering the Vernacular Landscape,All Science & Geography,10-Sep-86,John Brinckerhoff Jackson,Paperback,26.17,0,4,https://www.bookdepository.com/Discovering-the-Vernacular-Landscape-John-Brinckerhoff-Jackson/9780300035810?ref=grid-view
Mathematics for Physicists,All Science & Geography,14-Aug-96,Philippe Dennery,Paperback,18.63,19.95,3.5,https://www.bookdepository.com/Mathematics-for-Physicists-Philippe-Dennery-Andre-Krzywicki/9780486691930?ref=grid-view
Lizards,All Science & Geography,19-Jun-12,Eric R. Pianka,Paperback,44.42,0,4.5,https://www.bookdepository.com/Lizards-Eric-R-Pianka-Laurie-J-Vitt/9780520248472?ref=grid-view
Flowforms,All Science & Geography,1-Jan-04,John Wilkes,Paperback,27.8,39.33,4,https://www.bookdepository.com/Flowforms-John-Wilkes/9780863153921?ref=grid-view
Statistical Methods for Geography,All Science & Geography,10-Feb-15,Peter A. Rogerson,Paperback,50.08,56,5,https://www.bookdepository.com/Statistical-Methods-for-Geography-Peter--Rogerson/9781446295731?ref=grid-view
The Numeracy Test Workbook,All Science & Geography,28-Jun-11,Mike Bryon,Paperback,17.17,19.95,3,https://www.bookdepository.com/The-Numeracy-Test-Workbook-Mike-Bryon/9780749462079?ref=grid-view
Fair Food: Stories from a Movement Changing the World,All Science & Geography,1-Oct-15,Nick Rose,Paperback,22.68,23.95,3,https://www.bookdepository.com/Fair-Food-Stories-from-Movement-Changing-the-World-Nick-Rose/9780702253669?ref=grid-view
Einstein's Cosmos,All Science & Geography,1-Dec-05,Michio Kaku,Paperback,10.37,12.48,4,https://www.bookdepository.com/Einsteins-Cosmos-Michio-Kaku/9780753819043?ref=grid-view
Exotic Gems: How to Identify & Buy Alexandrite  Andalusite  Chrysoberyl Cat's-Eye  Kyanite  Common Opal  Fire Opal  Dinosaur Gembone  Tsavorite  Rhodolite & Other Garnets v. 2,All Science & Geography,15-Feb-11,Renee Newman,Paperback,17.02,29.25,4,https://www.bookdepository.com/Exotic-Gems-How-Identify--Buy-Alexandrite-Andalusite-Chrysoberyl-Cats-Eye-Kyanite-Common-Opal-Fire-Opal-Dinosaur-Gembone-Tsavorite-Rhodolite--Other-Garnets-v-2-Renee-Newman/9780929975450?ref=grid-view
Kaplan GMAT Math Foundations,All Science & Geography,5-Jul-13,Kaplan,Paperback,22.27,24.57,3.5,https://www.bookdepository.com/Kaplan-GMAT-Math-Foundations-Kaplan/9781609786786?ref=grid-view
Schaums Outline of Thermodynamics for Engineers,All Science & Geography,29-Jan-14,Merle Potter,Paperback,21.74,23,4,https://www.bookdepository.com/Schaums-Outline-of-Thermodynamics-for-Engineers-Merle-Potter-Craig-W-Somerton/9780071830829?ref=grid-view
Aqualog African Cichlids III  Malawi II - Peacocks,All Science & Geography,1-Jun-05,E. Schraml,Hardback,27.36,41.63,4.5,https://www.bookdepository.com/Aqualog-African-Cichlids-III-Malawi-II---Peacocks-E-Schraml/9783936027594?ref=grid-view
Wrinkles in Time,All Science & Geography,18-Sep-07,George Smoot,Paperback,14.91,14.99,4,https://www.bookdepository.com/Wrinkles-in-Time-George-Smoot/9780061344442?ref=grid-view
Mathematics Through the Eyes of Faith,All Science & Geography,2-Aug-11,Russell W. Howell,Paperback,18.88,19.99,3.5,https://www.bookdepository.com/Mathematics-Through-the-Eyes-of-Faith-Russell-W-Howell/9780062024473?ref=grid-view
Modern Fortran Explained,All Science & Geography,19-May-11,Michael Metcalf,Paperback,53.58,66.01,4.5,https://www.bookdepository.com/Modern-Fortran-Explained-Michael-Metcalf-John-Reid-Malcolm-Cohen/9780199601424?ref=grid-view
Canine and Feline Skin Cytology,All Science & Geography,3-Jan-17,Francesco Albanese,Hardback,65.8,79.98,0,https://www.bookdepository.com/Canine-and-Feline-Skin-Cytology-Francesco-Albanese/9783319412399?ref=grid-view
Autism's False Prophets,All Science & Geography,1-Apr-10,Paul A. Offit,Paperback,17.34,17.95,4,https://www.bookdepository.com/Autisms-False-Prophets-Paul--Offit/9780231146371?ref=grid-view
Sex in the Sea,All Science & Geography,31-Jan-17,Marah J. Hardt,Paperback,16.8,16.99,4,https://www.bookdepository.com/Sex-in-the-Sea-Marah-J-Hardt/9781250118592?ref=grid-view
Genius At Play,All Science & Geography,10-Sep-15,Siobhan Roberts,Hardback,24.1,30,4,https://www.bookdepository.com/Genius-At-Play-Siobhan-Roberts/9781620405932?ref=grid-view
Epigenetics,All Science & Geography,22-Jul-11,Richard C. Francis,Hardback,13.19,25.94,3.5,https://www.bookdepository.com/Epigenetics-Richard-C-Francis/9780393070057?ref=grid-view
Worlding Cities,All Science & Geography,23-Aug-11,Ananya Roy,Paperback,29.62,41.95,4,https://www.bookdepository.com/Worlding-Cities-Ananya-Roy-Aihwa-Ong/9781405192767?ref=grid-view
Evolutionary Dynamics,All Science & Geography,1-Oct-06,Martin A. Nowak,Hardback,54.71,55.5,4.5,https://www.bookdepository.com/Evolutionary-Dynamics-Martin--Nowak/9780674023383?ref=grid-view
The Billion Dollar Molecule: One Company's Quest for the Perfect Drug,All Science & Geography,6-Sep-95,Barry Werth,Paperback,18.75,0,4,https://www.bookdepository.com/The-Billion-Dollar-Molecule-One-Companys-Quest-for-the-Perfect-Drug-Barry-Werth/9780671510572?ref=grid-view
OCR A Level Geography Student Guide 3: Geographical Debates: Climate; Disease; Oceans; Food; Hazards,All Science & Geography,25-Aug-17,Peter Stiff,Paperback,11.52,13.87,0,https://www.bookdepository.com/OCR-Level-Geography-Student-Guide-3-Geographical-Debates-Climate-Disease-Oceans-Food-Hazards-Peter-Stiff-David-Barker-Helen-Harris/9781471864148?ref=grid-view
Genentech,All Science & Geography,8-Apr-13,Sally Smith Hughes,Paperback,16.13,0,4,https://www.bookdepository.com/Genentech-Sally-Smith-Hughes/9780226045511?ref=grid-view
The Invisible History of the Human Race: How DNA and History Shape Our Identities and Our Futures,All Science & Geography,27-Jan-16,Christine Kenneally,Paperback,17.38,17.99,0,https://www.bookdepository.com/The-Invisible-History-of-the-Human-Race-How-DNA-and-History-Shape-Our-Identities-and-Our-Futures-Christine-Kenneally/9781863958066?ref=grid-view
Pre-calculus Demystified  Second Edition,All Science & Geography,18-Apr-12,Rhonda Huettenmueller,Paperback,17.95,20,3.5,https://www.bookdepository.com/Pre-calculus-Demystified-Second-Edition-Rhonda-Huettenmueller/9780071778497?ref=grid-view
Flies,All Science & Geography,30-Aug-12,Stephen A. Marshall,Hardback,86.55,125,4.5,https://www.bookdepository.com/Flies-Stephen--Marshall/9781770851009?ref=grid-view
The Woodland Homestead,All Science & Geography,30-Jun-15,Brett Mcleod,Paperback,21.45,0,4,https://www.bookdepository.com/The-Woodland-Homestead-Brett-Mcleod/9781612123493?ref=grid-view
The Prepper's Cookbook,All Science & Geography,9-Apr-13,Tess Pennington,Paperback,16.48,16.95,4,https://www.bookdepository.com/The-Preppers-Cookbook-Tess-Pennington/9781612431291?ref=grid-view
The Positive Deviant,All Science & Geography,30-Jul-10,Sara Parkin,Hardback,39.3,40.01,4,https://www.bookdepository.com/The-Positive-Deviant-Sara-Parkin/9781849711180?ref=grid-view
The Cultural Origins of Human Cognition,All Science & Geography,1-May-01,Michael Tomasello,Paperback,35.15,0,4,https://www.bookdepository.com/The-Cultural-Origins-of-Human-Cognition-Michael-Tomasello/9780674005822?ref=grid-view
Field  Form and Fate,All Science & Geography,24-Apr-06,Michael Conforti,Paperback,17.34,20,4,https://www.bookdepository.com/Field-Form-and-Fate-Michael-Conforti/9781882670406?ref=grid-view
Raptors of the World,All Science & Geography,24-Nov-05,James Ferguson-Lees,Paperback,42.63,0,4.5,https://www.bookdepository.com/Raptors-of-the-World-James-Ferguson-Lees-David--Christie/9780713669572?ref=grid-view
Saxon Math Homeschool 6/5,All Science & Geography,1-Apr-04,Stephen Hake,Paperback,30.82,0,3.5,https://www.bookdepository.com/Saxon-Math-Homeschool-65-Stephen-Hake/9781591413226?ref=grid-view
Anthrobscene,All Science & Geography,30-Oct-14,Jussi Parikka,Paperback,10.08,0,3.5,https://www.bookdepository.com/Anthrobscene-Jussi-Parikka/9780816696079?ref=grid-view
The Botanical Treasury,All Science & Geography,22-Mar-16,Christopher Mills,Hardback,65.56,0,5,https://www.bookdepository.com/The-Botanical-Treasury-Christopher-Mills/9780226369341?ref=grid-view
The Mathematical Mechanic,All Science & Geography,26-Jul-12,Mark Levi,Paperback,16.99,0,3.5,https://www.bookdepository.com/The-Mathematical-Mechanic-Mark-Levi/9780691154565?ref=grid-view
Engines of Creation,All Science & Geography,1-Oct-87,K. Eric Drexler,Paperback,15.99,16.95,4,https://www.bookdepository.com/Engines-of-Creation-K-Eric-Drexler/9780385199735?ref=grid-view
The Projective Cast,All Science & Geography,28-Aug-00,Robin Evans,Paperback,45.1,49.94,4.5,https://www.bookdepository.com/The-Projective-Cast-Robin-Evans/9780262550383?ref=grid-view
Arrival of the Fittest,All Science & Geography,6-Nov-14,Andreas Wagner,Hardback,21.65,26.36,4,https://www.bookdepository.com/Arrival-of-the-Fittest-Andreas-Wagner/9781780745169?ref=grid-view
Return of the Primitive: the Anti-Industrial Revolution,All Science & Geography,1-Jan-99,Ayn Rand,Paperback,17.38,18,4,https://www.bookdepository.com/Return-of-the-Primitive-the-Anti-Industrial-Revolution-Ayn-Rand-Peter-Schwartz/9780452011847?ref=grid-view
Defending Beef,All Science & Geography,31-Oct-14,Nicolette Hahn Niman,Paperback,18.2,19.95,4,https://www.bookdepository.com/Defending-Beef-Nicolette-Hahn-Niman/9781603585361?ref=grid-view
Practicing Medicine Without A License? The Story of the Linus Pauling Therapy for Heart Disease,All Science & Geography,31-May-08,Founder Owen Fonorow,Paperback,34.15,0,4.5,https://www.bookdepository.com/Practicing-Medicine-Without-License-The-Story-of-the-Linus-Pauling-Therapy-for-Heart-Disease-Founder-Owen-Fonorow/9781435712935?ref=grid-view
Jesus Christ  Sun of God,All Science & Geography,1-Nov-93,David Fiedeler,Paperback,19.49,0,4.5,https://www.bookdepository.com/Jesus-Christ-Sun-of-God-David-Fiedeler/9780835606967?ref=grid-view
Elementary Probability,All Science & Geography,18-Aug-03,David Stirzaker,Paperback,73.71,87.99,2,https://www.bookdepository.com/Elementary-Probability-David-Stirzaker/9780521534284?ref=grid-view
Principles of Neurotheology,All Science & Geography,15-Oct-10,Andrew B. Newberg,Paperback,30.08,0,4,https://www.bookdepository.com/Principles-of-Neurotheology-Andrew-B-Newberg/9780754669944?ref=grid-view
The Science and Commerce of Whisky,All Science & Geography,2-Dec-13,Ian Buxton,Paperback,42.23,0,4,https://www.bookdepository.com/The-Science-and-Commerce-of-Whisky-Ian-Buxton-Paul-S-Hughes/9781849731508?ref=grid-view
Critical Critters,All Science & Geography,26-Sep-17,Ralph Steadman,Hardback,60.61,0,5,https://www.bookdepository.com/Critical-Critters-Ralph-Steadman-Ceri-Levy/9781472936714?ref=grid-view
MP3,All Science & Geography,17-Sep-12,Jonathan Sterne,Paperback,28.32,0,4,https://www.bookdepository.com/MP3-Jonathan-Sterne/9780822352877?ref=grid-view
My Mother Was a Computer,All Science & Geography,1-Oct-05,N. Katherine Hayles,Paperback,22.83,0,4,https://www.bookdepository.com/My-Mother-Was-Computer-N-Katherine-Hayles/9780226321486?ref=grid-view
A Dictionary of Environment and Conservation,All Science & Geography,7-Feb-13,Michael Allaby,Paperback,16.66,21.95,0,https://www.bookdepository.com/Dictionary-of-Environment-and-Conservation-Michael-Allaby-Chris-Park/9780199641666?ref=grid-view
Basic Probability Theory,All Science & Geography,26-Jun-08,Robert B. Ash,Paperback,18.18,22.95,3.5,https://www.bookdepository.com/Basic-Probability-Theory-Robert-B-Ash/9780486466286?ref=grid-view
Thunder & Lightning,All Science & Geography,27-Oct-15,Lauren Redniss,Hardback,30.48,34.99,4,https://www.bookdepository.com/Thunder--Lightning-Lauren-Redniss/9780812993172?ref=grid-view
Why Only Us,All Science & Geography,5-Jul-17,Robert C. Berwick,Paperback,15.1,15.95,4,https://www.bookdepository.com/Why-Only-Us-Robert-C-Berwick-Noam-Chomsky/9780262533492?ref=grid-view
Remarkable Plants: Postcards,All Science & Geography,25-Jan-16,Kew Royal Botanic Gardens,Hardback,9.66,12.95,0,https://www.bookdepository.com/Remarkable-Plants-Postcards-Kew-Royal-Botanic-Gardens/9780500420324?ref=grid-view
Social Ecology,All Science & Geography,30-Sep-11,Martin Large,Paperback,42.24,45,4.5,https://www.bookdepository.com/Social-Ecology-Martin-Large-David-Wright-Catherine-E-Camden-Pratt-Stuart-B-Hill/9781907359118?ref=grid-view
Finding Everett Ruess,All Science & Geography,26-Jun-12,David Roberts,Paperback,16.1,0,3.5,https://www.bookdepository.com/Finding-Everett-Ruess-David-Roberts/9780307591777?ref=grid-view
Forest Ecosystems,All Science & Geography,19-Jun-08,David A. Perry,Hardback,99.21,0,4,https://www.bookdepository.com/Forest-Ecosystems-David--Perry-Ram-Oren-Stephen-C-Hart/9780801888403?ref=grid-view
Birds of Oman,All Science & Geography,20-Feb-18,Jens Eriksen,Paperback,40.92,45,0,https://www.bookdepository.com/Birds-of-Oman-Jens-Eriksen-Richard-Porter/9781472937537?ref=grid-view
Urban Street Design Guide,All Science & Geography,1-Oct-13,National Association of City Transportation Officials,Hardback,50.92,0,4.5,https://www.bookdepository.com/Urban-Street-Design-Guide-National-Association-of-City-Transportation-Officials/9781610914949?ref=grid-view
In the Interests of Safety,All Science & Geography,1-Jul-14,Tracey Brown,Hardback,15.19,22.99,3.5,https://www.bookdepository.com/In-the-Interests-of-Safety-Tracey-Brown-Michael-Hanlon/9780751553499?ref=grid-view
Algebra II Workbook for Dummies  2nd Edition,All Science & Geography,27-May-14,Mary Jane Sterling,Paperback,17.71,19.99,4,https://www.bookdepository.com/Algebra-II-Workbook-for-Dummies-2nd-Edition-Mary-Jane-Sterling/9781118867037?ref=grid-view
Computational Methods for Fluid Dynamics,All Science & Geography,1-Dec-01,Joel H. Ferziger,Paperback,70.6,88.42,4,https://www.bookdepository.com/Computational-Methods-for-Fluid-Dynamics-Joel-H-Ferziger-Milovan-Peric/9783540420743?ref=grid-view
Climate Leviathan,All Science & Geography,13-Feb-18,Geoff Mann,Hardback,23.2,26.94,5,https://www.bookdepository.com/Climate-Leviathan-Geoff-Mann-Joel-Wainwright/9781786634290?ref=grid-view
Revise Edexcel AS/A Level Biology B Revision Workbook,All Science & Geography,14-Dec-16,Ann Skinner,Paperback,20.11,20.99,0,https://www.bookdepository.com/Revise-Edexcel-AS-Level-Biology-B-Revision-Workbook-Ann-Skinner/9781447989936?ref=grid-view
Politics in Deeply Divided Societies,All Science & Geography,22-May-12,Adrian Guelke,Paperback,22.81,24.94,3.5,https://www.bookdepository.com/Politics-in-Deeply-Divided-Societies-Adrian-Guelke/9780745648507?ref=grid-view
Twelve by Twelve,All Science & Geography,5-Jul-10,William Powers,Paperback,17.1,0,3.5,https://www.bookdepository.com/Twelve-by-Twelve-William-Powers/9781577318972?ref=grid-view
Scientific Writing,All Science & Geography,26-Jul-02,Jennifer Peat,Paperback,48.26,57.95,3.5,https://www.bookdepository.com/Scientific-Writing-Jennifer-Peat-Elizabeth-Elliott-Louise-Baur-Victoria-Keena/9780727916259?ref=grid-view
The End of Growth,All Science & Geography,1-Oct-11,Richard Heinberg,Paperback,20.52,33,4,https://www.bookdepository.com/The-End-of-Growth-Richard-Heinberg/9781905570331?ref=grid-view
Embodied,All Science & Geography,1-Feb-16,Christopher Eccleston,Paperback,46.28,49.94,3,https://www.bookdepository.com/Embodied-Christopher-Eccleston/9780198727903?ref=grid-view
Elephants on Acid,All Science & Geography,5-Nov-07,Alex Boese,Paperback,16.3,16.99,4,https://www.bookdepository.com/Elephants-on-Acid-Alex-Boese/9780156031356?ref=grid-view
Physical Biology of the Cell,All Science & Geography,1-Nov-12,Rob Phillips,Paperback,107.01,149,4.5,https://www.bookdepository.com/Physical-Biology-of-the-Cell-Rob-Phillips-Jane-Kondev-Julie-Theriot-Hernan-Garcia/9780815344506?ref=grid-view
Oxford,All Science & Geography,1-May-01,Jan Morris,Paperback,15.59,23.75,4,https://www.bookdepository.com/Oxford-Jan-Morris/9780192801364?ref=grid-view
John Rutter Carols,All Science & Geography,3-Nov-05,John Rutter,Sheet music,14.84,14.95,4.5,https://www.bookdepository.com/John-Rutter-Carols-John-Rutter/9780193533813?ref=grid-view
Planet X - The 2017 Arrival,All Science & Geography,24-Jun-16,David Meade,Paperback,19.32,0,3.5,https://www.bookdepository.com/Planet-X---The-2017-Arrival-David-Meade/9781456626921?ref=grid-view
The Cambridge Introduction to Literature and the Environment,All Science & Geography,4-May-11,Timothy Clark,Paperback,32.01,0,3.5,https://www.bookdepository.com/The-Cambridge-Introduction-Literature-and-the-Environment-Timothy-Clark/9780521720908?ref=grid-view
Healthy Brain  Happy Life,All Science & Geography,19-May-15,Wendy Suzuki,Hardback,21.49,26.99,3.5,https://www.bookdepository.com/Healthy-Brain-Happy-Life-Wendy-Suzuki/9780062366788?ref=grid-view
AQA GCSE Maths Foundation All-in-One Revision and Practice,All Science & Geography,1-Sep-15,Collins GCSE,Paperback,16.19,17.95,0,https://www.bookdepository.com/AQA-GCSE-Maths-Foundation-All-in-One-Revision-and-Practice-Collins-GCSE/9780008112516?ref=grid-view
The Century,All History & Archaeology,23-Apr-07,Alain Badiou,Paperback,25.86,26.94,4,https://www.bookdepository.com/The-Century-Alain-Badiou/9780745636320?ref=grid-view
Honours of War,All History & Archaeology,17-Nov-15,Keith Flint,Paperback,14.85,17.95,4,https://www.bookdepository.com/Honours-of-War-Keith-Flint-Giuseppe-Rava/9781472808097?ref=grid-view
War,All History & Archaeology,23-May-17,A. C. Grayling,Hardback,22.46,26,3,https://www.bookdepository.com/War--C-Grayling/9780300175349?ref=grid-view
Samurai Armour,All History & Archaeology,24-Oct-17,Trevor Absolon,Hardback,61.29,0,0,https://www.bookdepository.com/Samurai-Armour-Trevor-Absolon/9781472807960?ref=grid-view
Giles's War,All History & Archaeology,1-Oct-17,Timothy S. Benson,Paperback,17.91,21.95,4.5,https://www.bookdepository.com/Giless-War-Timothy-S-Benson/9781847948090?ref=grid-view
The Knox Brothers,All History & Archaeology,1-Jan-02,Penelope Fitzgerald,Paperback,13.49,21.63,4,https://www.bookdepository.com/The-Knox-Brothers-Penelope-Fitzgerald-Richard-Holmes/9780007118304?ref=grid-view
An Illustrated Dictionary of the Gods and Symbols of Ancient Mexico and the Maya,All History & Archaeology,28-Apr-97,Mary Miller,Paperback,17.45,19.95,4,https://www.bookdepository.com/An-Illustrated-Dictionary-of-the-Gods-and-Symbols-of-Ancient-Mexico-and-the-Maya-Mary-Miller/9780500279281?ref=grid-view
Flourishing,All History & Archaeology,2-Feb-16,Mr. Miroslav Volf,Hardback,27.36,28,4,https://www.bookdepository.com/Flourishing-Mr-Miroslav-Volf/9780300186536?ref=grid-view
Demyansk 1942-43,All History & Archaeology,19-Jun-12,Robert Forczyk,Paperback,20.5,0,4,https://www.bookdepository.com/Demyansk-1942-43-Robert-Forczyk/9781849085526?ref=grid-view
Reminiscences Of The Cuban Revolutionary War,All History & Archaeology,2-Mar-06,Ernesto 'Che' Guevara,Paperback,17.78,18.95,4,https://www.bookdepository.com/Reminiscences-Of-The-Cuban-Revolutionary-War-Ernesto-Che-Guevara/9781920888336?ref=grid-view
A History of the Cuban Revolution  Second Edition,All History & Archaeology,20-Apr-15,Aviva Chomsky,Paperback,28.73,0,4,https://www.bookdepository.com/History-of-the-Cuban-Revolution-Second-Edition-Aviva-Chomsky/9781118942284?ref=grid-view
Edexcel AS/A Level History  Paper 1&2: Revolutions in early modern and modern Europe Student Book + ActiveBook,All History & Archaeology,27-Jul-15,Alan White,Mixed media product,44.77,0,0,https://www.bookdepository.com/Edexcel-AS-Level-History-Paper-12-Revolutions-in-early-modern-and-modern-Europe-Student-Book---ActiveBook-Alan-White-Daniel-Nuttall-Oliver-Bullock/9781447985327?ref=grid-view
The Vertigo Years,All History & Archaeology,8-Sep-09,Philipp Blom,Paperback,15.7,20.54,4,https://www.bookdepository.com/The-Vertigo-Years-Philipp-Blom/9780753825983?ref=grid-view
The Caucasus 1942-43,All History & Archaeology,19-May-15,Robert Forczyk,Paperback,18.36,21.95,4,https://www.bookdepository.com/The-Caucasus-1942-43-Robert-Forczyk-Steve-Noon/9781472805836?ref=grid-view
Historopedia Activity Book,All History & Archaeology,8-Jul-17,John Burke,Paperback,12.13,17,5,https://www.bookdepository.com/Historopedia-Activity-Book-John-Burke-Fatti-Burke/9780717175734?ref=grid-view
Dissecting the Holocaust,All History & Archaeology,1-Dec-03,Victor Diodon,Paperback,32.29,0,4,https://www.bookdepository.com/Dissecting-the-Holocaust-Victor-Diodon/9780967985626?ref=grid-view
Key Stage 3 History by Aaron Wilkes: Industry  Invention and Empire: Britain 1745-1901 Student Book,All History & Archaeology,4-Sep-14,Aaron Wilkes,Paperback,31.66,34.24,4,https://www.bookdepository.com/Key-Stage-3-History-by-Aaron-Wilkes-Industry-Invention-and-Empire-Britain-1745-1901-Student-Book-Aaron-Wilkes/9780198393191?ref=grid-view
Embracing Defeat,All History & Archaeology,1-Sep-04,John W. Dower,Paperback,22.35,33,4,https://www.bookdepository.com/Embracing-Defeat-John-W-Dower/9780140285512?ref=grid-view
A Revolution of the Mind,All History & Archaeology,8-Nov-11,Jonathan Israel,Paperback,25.46,25.94,3.5,https://www.bookdepository.com/Revolution-of-the-Mind-Jonathan-Israel/9780691152608?ref=grid-view
This Cold Heaven,All History & Archaeology,7-Jan-03,Gretel Ehrlich,Paperback,19.34,0,4,https://www.bookdepository.com/This-Cold-Heaven-Gretel-Ehrlich/9780679758525?ref=grid-view
The Just City,All History & Archaeology,1-Aug-11,Susan S. Fainstein,Paperback,28.07,0,3.5,https://www.bookdepository.com/The-Just-City-Susan-S-Fainstein/9780801476907?ref=grid-view
Multidirectional Memory,All History & Archaeology,1-Jul-09,Michael Rothberg,Paperback,26.18,0,4,https://www.bookdepository.com/Multidirectional-Memory-Michael-Rothberg/9780804762182?ref=grid-view
The Grass Roots of English History,All History & Archaeology,5-May-16,David Hey,Paperback,23.93,29.96,3,https://www.bookdepository.com/The-Grass-Roots-of-English-History-David-Hey/9781474281645?ref=grid-view
Blood in the Water,All History & Archaeology,17-Oct-16,Heather Ann Thompson,Hardback,28.61,34.99,4.5,https://www.bookdepository.com/Blood-in-the-Water-Heather-Ann-Thompson/9780375423222?ref=grid-view
Almost A Miracle,All History & Archaeology,3-Apr-09,John Ferling,Paperback,20.34,0,4,https://www.bookdepository.com/Almost-Miracle-John-Ferling/9780195382921?ref=grid-view
Such A Lovely Little War,All History & Archaeology,17-Nov-16,David Homel,Paperback,31.25,0,4,https://www.bookdepository.com/Such-Lovely-Little-War-David-Homel-Marcelino-Truong/9781551526478?ref=grid-view
Dublin 7,All History & Archaeology,1-Oct-16,Bernard Neary,Hardback,21.25,0,4.5,https://www.bookdepository.com/Dublin-7-Bernard-Neary/9781843516811?ref=grid-view
Five Chimneys,All History & Archaeology,27-Nov-13,Olga Lengyel,Paperback,14.78,0,4,https://www.bookdepository.com/Five-Chimneys-Olga-Lengyel/9788087888513?ref=grid-view
Chosen Soldier,All History & Archaeology,25-Mar-08,Dick Couch,Paperback,16.91,17,4,https://www.bookdepository.com/Chosen-Soldier-Dick-Couch/9780307339393?ref=grid-view
MiG-17/19 Aces of the Vietnam War,All History & Archaeology,20-Oct-16,Istvan Toperczer,Paperback,17.39,23,4,https://www.bookdepository.com/MiG-1719-Aces-of-the-Vietnam-War-Istvan-Toperczer-Jim-Laurier-Gareth-Hector/9781472812551?ref=grid-view
She-Wolves,All History & Archaeology,31-Jan-12,Fellow and Lecturer in History Helen Castor,Paperback,15.89,16.99,4,https://www.bookdepository.com/She-Wolves-Fellow-and-Lecturer-in-History-Helen-Castor/9780061430770?ref=grid-view
The Impending Crisis  1848-61,All History & Archaeology,15-Mar-11,David M. Potter,Paperback,18.63,0,4,https://www.bookdepository.com/The-Impending-Crisis-1848-61-David-M-Potter-Don-E-Fehrenbacher/9780061319297?ref=grid-view
